Iterations,Seconds,Score
10000,10,8.680180
20000,17,7.757859
30000,23,7.346683
40000,26,7.174952
50000,29,7.082767
60000,32,7.020924
70000,35,6.914581
80000,37,6.838067
90000,39,6.802039
100000,41,6.730514
110000,42,6.715370
130000,45,6.685759
140000,47,6.627948
150000,49,6.617515
160000,50,6.611109
170000,52,6.594582
180000,53,6.588077
200000,57,6.542660
210000,58,6.504768
220000,60,6.497386
230000,61,6.484634
250000,65,6.442193
260000,66,6.420248
270000,68,6.387525
280000,69,6.375962
290000,71,6.370086
300000,72,6.361656
310000,74,6.335731
320000,75,6.320044
330000,76,6.315556
340000,77,6.311993
350000,79,6.298044
360000,80,6.286538
370000,82,6.269968
380000,83,6.258717
390000,85,6.248173
400000,86,6.241313
410000,87,6.237397
420000,89,6.236181
430000,90,6.231364
440000,91,6.226834
450000,92,6.225942
460000,93,6.221830
470000,95,6.216839
480000,96,6.210459
490000,97,6.209726
500000,98,6.201731
510000,99,6.194733
520000,101,6.193120
530000,102,6.186513
540000,103,6.184045
560000,105,6.178898
570000,107,6.173024
580000,108,6.161793
590000,110,6.146761
600000,111,6.145726
610000,112,6.138651
620000,113,6.133215
630000,114,6.131845
640000,116,6.127648
660000,118,6.115034
670000,119,6.114589
680000,121,6.106479
690000,122,6.101887
710000,124,6.096075
720000,125,6.094298
730000,127,6.089552
740000,128,6.086897
750000,129,6.086811
760000,130,6.085306
770000,131,6.080614
780000,132,6.077137
790000,133,6.069113
800000,134,6.066605
810000,136,6.063840
820000,137,6.060742
830000,138,6.060393
840000,139,6.058475
850000,140,6.055313
870000,142,6.049725
880000,144,6.044302
890000,145,6.042497
900000,146,6.038904
910000,147,6.038862
920000,148,6.031880
930000,149,6.028749
940000,150,6.025558
950000,152,6.024017
960000,153,6.023805
970000,154,6.023787
980000,155,6.011358
990000,156,6.007145
1000000,157,6.005779
1010000,158,6.005779
1020000,160,6.005467
1030000,161,6.001883
1040000,162,6.001286
1060000,164,5.998760
1080000,166,5.998300
1090000,167,5.992632
1110000,169,5.987969
1120000,171,5.987515
1130000,172,5.983320
1150000,174,5.975522
1160000,175,5.973775
1170000,176,5.971861
1180000,177,5.971047
1190000,178,5.970873
1200000,179,5.968798
1210000,180,5.967473
1220000,182,5.967035
1230000,183,5.966310
1240000,184,5.965433
1250000,185,5.963934
1270000,188,5.961838
1280000,189,5.960148
